"SampleID","A1.ReadSingleton","A1.MateSingleton","A1.ReadMatePairs","A1.Total","A2.ReadSingleton","A2.MateSingleton","A2.ReadMatePairs","A2.Total","B1.ReadSingleton","B1.MateSingleton","B1.ReadMatePairs","B1.Total","B2.ReadSingleton","B2.MateSingleton","B2.ReadMatePairs","B2.Total","C1.ReadSingleton","C1.MateSingleton","C1.ReadMatePairs","C1.Total","C2.ReadSingleton","C2.MateSingleton","C2.ReadMatePairs","C2.Total","D.R1Singleton","D.R2Singleton","D.ReadMatePairs","D.Total","Total"
"scCLTdegenNuc333",4108,5012,113056,122176,59,211,8078,8348,635,735,16256,17626,227,131,11694,12052,3352,1204,29990,34546,42,25,734,801,6306,4852,43080,54238,249787
"scCLTdegenNuc334",3727,3300,29942,36969,33,52,762,847,141,325,5186,5652,9,7,398,414,707,788,10130,11625,4,2,144,150,652,477,2960,4089,59746
"scCLTdegenNuc335",3448,3180,34116,40744,21,8,780,809,104,401,3930,4435,9,7,408,424,525,357,6854,7736,0,3,140,143,541,425,2264,3230,57521
"scCLTdegenNuc458",3406,2013,22246,27665,111,922,17802,18835,8543,431,10502,19476,1863,950,33282,36095,108881,2407,99872,211160,969,8,39554,40531,63109,53468,167726,284303,638065
"scCLTdegenNuc459",3457,1939,30436,35832,144,986,18104,19234,17274,445,11346,29065,4051,1010,31934,36995,128369,2364,101170,231903,817,4,37714,38535,110522,96386,161126,368034,759598
"scCLTdegenNuc460",1484,1171,9074,11729,44,368,2458,2870,1121,270,3122,4513,299,200,4028,4527,30053,1396,24152,55601,42,3,2346,2391,12250,11480,26936,50666,132297
