"SampleID","A1.ReadSingleton","A1.MateSingleton","A1.ReadMatePairs","A1.Total","A2.ReadSingleton","A2.MateSingleton","A2.ReadMatePairs","A2.Total","B1.ReadSingleton","B1.MateSingleton","B1.ReadMatePairs","B1.Total","B2.ReadSingleton","B2.MateSingleton","B2.ReadMatePairs","B2.Total","C1.ReadSingleton","C1.MateSingleton","C1.ReadMatePairs","C1.Total","C2.ReadSingleton","C2.MateSingleton","C2.ReadMatePairs","C2.Total","D.R1Singleton","D.R2Singleton","D.ReadMatePairs","D.Total","Total"
"scCLTdegenNuc333",0.0164460120022259,0.0200650954613331,0.452609623399136,0.489120730862695,0.000236201243459427,0.00084471970118541,0.0323395532994111,0.0334204742440559,0.00254216592536841,0.00294250701597761,0.0650794476894314,0.0705641206307774,0.000908774275682882,0.000524446828698051,0.0468158871358397,0.0482491082402207,0.0134194333572204,0.00482010673093476,0.120062293073699,0.138301833161854,0.000168143258055864,0.0001000852726523,0.00293850360507152,0.00320673213577968,0.0252455091738161,0.0194245497163583,0.172466941834443,0.217137000724617,1
"scCLTdegenNuc334",0.0623807451544873,0.0552338231848157,0.501154889030228,0.618769457369531,0.000552338231848157,0.000870351153215278,0.0127539918990393,0.0141766812841027,0.00235999062698758,0.00543969470759549,0.0868007900110468,0.0946004753456298,0.000150637699594952,0.000117162655240518,0.00666153382653232,0.00692933418136779,0.0118334281792923,0.0131891674756469,0.169551099655207,0.194573695310146,6.69500887088675e-05,3.34750443544338e-05,0.00241020319351923,0.00251062832658253,0.0109128644595454,0.00798379807853245,0.049543065644562,0.0684397281826398,1
"scCLTdegenNuc335",0.0599433250465048,0.0552841570904539,0.593105126823247,0.708332608960206,0.000365084056257715,0.000139079640479129,0.0135602649467151,0.014064428643452,0.00180803532622868,0.00697136697901636,0.0683228733853723,0.0771022756906173,0.000156464595539021,0.000121694685419238,0.0070930616644356,0.00737122094539386,0.00912710140644286,0.00620642895638115,0.119156481980494,0.134490012343318,0,5.21548651796735e-05,0.00243389370838476,0.00248604857356444,0.00940526068740112,0.00738860590045375,0.0393595382555936,0.0561534048434485,1
"scCLTdegenNuc458",0.00533801415216318,0.0031548509948046,0.0348647865029425,0.0433576516499103,0.000173963467671789,0.00144499384858909,0.027899978842281,0.0295189361585418,0.0133889180569378,0.000675479770869739,0.0164591381755777,0.0305235360033852,0.00291976522768057,0.00148887652511891,0.0521608300094818,0.0565694717622813,0.17064248940155,0.00377234294311708,0.15652323822808,0.330938070572747,0.00151865405562129,1.25379075799488e-05,0.0619905495521616,0.0635217415153629,0.0989068511828732,0.0837971053105875,0.262866635844311,0.445570592337771,1
"scCLTdegenNuc459",0.00455109149839784,0.00255266601544501,0.0400685625817867,0.0471723200956295,0.000189573958857185,0.00129805502384156,0.0238336593829894,0.0253212883656882,0.0227409761479098,0.000585836192301717,0.0149368481749557,0.0382636605151672,0.00533308407868372,0.00132965068365109,0.0420406583482316,0.0487033931105664,0.168995968920403,0.00311217249123879,0.133188870955426,0.305297012367068,0.00107556891934945,5.26594330158847e-06,0.0496499464190269,0.0507307812816779,0.14550064639454,0.126890802766727,0.212120095102936,0.484511544264203,1
"scCLTdegenNuc460",0.0112171855748808,0.00885129670362896,0.0685881010151402,0.0886565832936499,0.000332585017044982,0.00278162014255803,0.0185794084521947,0.0216936136117977,0.00847335918425966,0.00204086260459421,0.023598418709419,0.0341126404982728,0.0022600663658284,0.00151175007747719,0.0304466465603906,0.0342184630036962,0.22716312539211,0.0105520155407908,0.182558939356146,0.420274080289047,0.00031746751627021,2.26762511621579e-05,0.0177328284088075,0.0180729721762398,0.092594692245478,0.0867744544471908,0.203602500434628,0.382971647127297,1
